KEY	INTPTLAT10	INTPTLON10
1	38.0568137	-89.4023035
2	38.0915282	-89.3155062
3	38.0186369	-89.4470593
4	38.0506729	-89.2731675
5	38.1618351	-89.2474702
6	38.0905623	-89.4206515
7	38.1280906	-89.4028769
8	38.0616784	-89.1746743
9	38.1696597	-89.5199433
10	38.0093499	-89.2228827
11	37.9775484	-89.575347
12	38.0178329	-89.2411056
13	38.0158856	-89.2265682
14	38.0303553	-89.2292615
15	38.1734771	-89.3503781
16	38.1562066	-89.189989
17	38.0206703	-89.5748738
18	38.0784645	-89.3863906
19	37.9791868	-89.2646716
20	38.0738401	-89.3735114
21	38.0046062	-89.2347831
22	37.9900232	-89.1816082
23	39.9465817	-91.4081635
24	39.9392721	-91.3903947
25	39.9391728	-91.3823768
26	39.9573668	-91.4091716
27	39.9467318	-91.3985398
28	39.9398502	-91.3985484
29	39.9342532	-91.3823707
30	39.9343379	-91.3918396
31	39.930742	-91.3727199
32	39.9291094	-91.3917506
33	39.929021	-91.3823067
34	39.9326168	-91.4108846
35	39.9329908	-91.3999576
36	39.9174209	-91.4058983
37	39.9251944	-91.4058823
38	39.9236564	-91.3917219
39	39.9251486	-91.3998601
40	39.922901	-91.3822757
41	39.916551	-91.3822892
42	39.917276	-91.3917144
43	39.9792364	-91.3879912
44	39.9529852	-91.4047528
45	39.8201253	-91.2368498
46	40.046834	-91.0578296
47	39.8659839	-91.0794362
48	39.9540864	-91.3541131
49	39.9445853	-91.3628882
50	39.8060013	-91.3368267
51	39.8907628	-91.3690675
52	39.8864204	-91.2090985
53	39.9827329	-91.304939
54	40.0293879	-90.9544009
55	39.793423	-91.1338248
56	39.955882	-91.0887491
57	39.8917093	-90.9776438
58	39.9226842	-91.3667111
59	39.9098768	-91.3229537
60	39.9187914	-91.3491051
61	39.9441907	-91.385657
62	40.1418153	-91.2544881
63	39.945196	-91.3726445
64	39.9417332	-91.3414099
65	39.9622815	-91.3251157
66	39.9787802	-91.1942346
67	39.9863314	-91.4279788
68	39.8737833	-91.2909703
69	39.8763449	-91.4206271
70	40.0898323	-91.2886099
71	39.9400766	-91.4108026
72	40.039376	-91.2405771
73	40.1149367	-91.1021379
74	40.1140413	-91.4364945
75	39.9183086	-91.4137435
76	39.948528	-91.3856466
77	39.9113962	-91.3995452
78	39.9066104	-91.3865365
79	39.9049889	-91.3592195
80	39.9304292	-91.3488137
81	40.1132236	-90.980366
82	39.9375717	-91.368532
83	39.9577092	-91.3869104
84	40.845991	-90.9496492
85	40.9968477	-90.8490021
86	41.0070708	-90.9308261
87	40.8706011	-90.8545199
88	40.6725581	-91.0001825
89	40.7320618	-91.0141107
90	40.9106922	-90.96585
91	40.8196961	-91.0410848
92	40.7189938	-90.8461581
93	40.0154163	-90.4161936
94	39.9142297	-90.3104749
95	39.9325405	-90.4494809
96	39.8819265	-90.0062725
97	39.9350513	-90.0738596
98	40.0318324	-90.3197859
99	39.9962499	-90.4335811
100	40.0523033	-90.0892842
101	40.0124656	-90.4400125
102	40.0275631	-90.4151785
103	40.0162236	-90.4341014
104	40.0086793	-90.4306841
105	40.0116912	-90.4247073
106	39.9782716	-90.1416864
107	39.9187245	-90.2226904
108	40.7146369	-89.2775113
109	40.6512485	-89.1271675
110	40.7775786	-89.4923122
111	40.8026577	-89.3532143
112	40.8103398	-89.426185
113	40.9132705	-89.0307783
114	40.9058946	-89.0408498
115	40.628659	-89.2212942
116	40.7207508	-89.2482779
117	40.7103831	-89.2508622
118	40.8412666	-89.4828483
119	40.766075	-89.5028295
120	40.8098076	-89.5269859
121	40.7703411	-89.5294018
122	40.8805574	-89.2438538
123	40.9205069	-89.2860682
124	40.8723049	-89.4011323
125	40.8004597	-89.1494984
126	40.7328757	-89.2590857
127	40.7966594	-89.4719494
128	40.7884229	-88.9969454
129	40.7572557	-89.459346
130	40.6927323	-89.2615657
131	40.7157408	-89.1221941
132	40.7160035	-89.0285938
133	40.8067931	-89.3752711
134	40.8841315	-89.1038461
135	40.8795712	-88.9792511
136	40.7783454	-89.3379054
137	40.6540246	-89.2890578
138	38.780125	-88.196907
139	38.6107361	-87.9896722
140	38.7182794	-87.9609105
141	38.6982547	-88.0683146
142	38.631474	-88.173408
143	38.814705	-88.0011716
144	38.7046886	-88.2370204
145	38.767695	-88.0936289
146	38.7382177	-88.0979108
147	38.7250501	-88.0678614
148	38.7417081	-88.066522
149	38.718858	-88.0941291
150	38.7229617	-88.0809991
151	38.7402078	-88.0781016
152	39.7610648	-88.1198753
153	39.6881881	-88.4069975
154	39.8205732	-88.3771954
155	39.6754406	-88.3337888
156	39.7303686	-88.3020583
157	39.6880952	-88.2939509
158	39.7052781	-88.4471459
159	39.7784776	-88.4414441
160	39.7262916	-88.4472312
161	39.7210711	-88.0383183
162	39.8166874	-88.2236614
163	39.8420422	-88.1383402
164	39.8405336	-88.1868307
165	39.869326	-88.1891452
166	39.8358011	-87.9636107
167	39.8019379	-88.2792514
168	39.8126959	-88.2836127
169	39.7984294	-88.283149
170	39.7876833	-88.279345
171	41.8794195	-89.4782863
172	41.8295856	-88.9932138
173	41.8827405	-89.4332311
174	41.8261886	-89.3380123
175	41.7403869	-89.5298438
176	41.6464897	-89.5068241
177	41.8016107	-89.570695
178	41.7973793	-89.4509876
179	41.8272679	-89.579605
180	41.8683365	-89.5813836
181	41.8829202	-89.5053874
182	41.6448546	-89.326453
183	41.8787592	-89.2312114
184	41.8101952	-89.1221851
185	41.8233047	-89.2366617
186	41.8552661	-89.4986851
187	41.8450325	-89.5006831
188	41.8368159	-89.5049191
189	41.8278317	-89.4952564
190	41.8420227	-89.4912216
191	41.8584886	-89.4833673
192	41.8535569	-89.4755317
