map#	urban_packing	rural_packing	college_degree_packing	income_packing	poverty_packing	minority_packing	repub_packing	dem_packing	compactness	minority_wins	dem_wins
0	0.4483343934	0.4903503752	0.3772346008	0.5226177781	0.6602976556	0.5939639372	0.4693893454	0.4899052868	0.4089650878	11	42
1	0.41310247	0.429471291	0.5407580331	0.6249142863	0.7176029817	0.5292187643	0.4752548132	0.4642441203	0.3040086299	13	42
2	0.6312064127	0.4736186003	0.2679050696	0.3385711991	0.3656258644	0.3642360473	0.3566148878	0.3851384241	0.3694934496	14	40
3	0.374215595	0.4735583611	0.8122268926	0.7447514153	0.5634976047	0.6419235978	0.552146022	0.5489586029	0.3514313788	12	38
4	0.6824457058	0.5648471607	0.4699142817	0.4934846493	0.4870836112	0.5271612453	0.556536613	0.5550450911	0.3843389384	14	41
5	0.5149688407	0.5727901715	0.7124959567	0.7456731816	0.6668274663	0.4466120362	0.571696959	0.5730517433	0.4302899116	13	41
6	0.3128759754	0.3429677945	0.5897711635	0.6829945579	0.858068376	0.6488588719	0.5143741575	0.5234134997	0.4686255406	14	41
7	0.4435519249	0.4782385384	0.541423304	0.6637554035	0.4957708417	0.4464988807	0.4321369914	0.440924038	0.3920681409	13	41
8	0.4404891532	0.5200863534	0.6122092379	0.6395497285	0.6765986954	0.6139022644	0.5120285845	0.5321140619	0.4374063475	12	41
9	0.3153438425	0.3293985197	0.4614819208	0.5840485493	0.7188420461	0.5671338027	0.5919881755	0.6086934217	0.3527541208	11	41
10	0.2981421172	0.2874335557	0.2295264316	0.4931978049	0.7192367114	0.6191812897	0.6201716363	0.6196667611	0.3506052562	13	39
11	0.7297982892	0.6862084698	0.6339503826	0.5333636404	0.6140530583	0.655841872	0.4625756176	0.4923341221	0.2657111752	12	40
12	0.4257105083	0.3859493152	0.2527903556	0.5913471045	0.6366021803	0.3616039272	0.5551541242	0.5454482844	0.6477993504	13	39
13	0.2989117208	0.3459865542	0.5939920195	0.4137415109	0.2513482859	0.392672266	0.400889517	0.4067982822	0.402814438	12	40
14	0.3122471036	0.4004960478	0.4508310025	0.4290180729	0.421588306	0.3096509221	0.2519194672	0.2622105569	0.1652929235	12	40
15	0.2089139313	0.2145988241	0.2324388993	0.3930779493	0.4269505843	0.4232156741	0.4058372209	0.4180777317	0.4299204484	13	40
16	0.4759920645	0.4092966473	0.5745270908	0.6162705341	0.8313229146	0.5836324771	0.4499655996	0.48753487	0.4601708435	12	39
17	0.5529291081	0.5125451933	0.517437746	0.3645960476	0.2882916967	0.5141246229	0.4299453241	0.4333034159	0.4228342087	12	39
18	0.1967564791	0.2701483298	0.5549529651	0.5624905341	0.6152853647	0.3995972156	0.5618469326	0.598842933	0.2563771178	12	41
19	0.5192997787	0.3688943328	0.7017191691	0.6537134637	0.6613506313	0.4359655798	0.5728706176	0.6011379487	0.2758075391	12	42
20	0.6432664167	0.6046661161	0.4907179045	0.5940261808	0.5840294183	0.5282407512	0.4652109551	0.4688804129	0.5012050664	12	41
21	0.3713604353	0.2773582082	0.4483909744	0.410699237	0.3341580148	0.4321725965	0.3799093253	0.3915059562	0.1924403695	12	40
22	0.5249980039	0.4593453441	0.8348198019	0.5960077441	0.7079121958	0.6468903959	0.6783468842	0.6914460396	0.5300035401	13	40
23	0.4751425037	0.3859628172	0.7630504202	0.5598720152	0.7419730369	0.516671561	0.347728317	0.3962203099	0.3410547149	11	39
24	0.2673983434	0.2218963217	0.5129394578	0.5613195489	0.606255486	0.4164246984	0.3834510983	0.4165367021	0.3125483645	12	39
25	0.483828431	0.5180508398	0.4373372893	0.5820763286	0.5493130787	0.6733236863	0.5794543551	0.5759319451	0.3709855805	12	40
26	0.2814109028	0.2514906166	0.5458742699	0.3541351462	0.2720543359	0.3827395903	0.2273229951	0.2496057992	0.3590226988	13	39
27	0.4927481761	0.4662385732	0.3979590718	0.5141489583	0.5070639396	0.6042583465	0.4092979349	0.4007283342	0.2178819376	11	39
28	0.3789543915	0.361910089	0.4575980465	0.4578685365	0.5633669888	0.7169764573	0.5432547766	0.5811930861	0.221199612	12	40
29	0.1680071508	0.1412609988	0.2739893184	0.5011572944	0.6587025711	0.4110891565	0.5165680994	0.5033146002	0.2738170243	14	39
30	0.2925923957	0.3702389655	0.423501648	0.4133451374	0.5003918813	0.366090993	0.447437134	0.4674478769	0.3043500786	12	40
31	0.5215542375	0.5083201244	0.4522942676	0.6359128964	0.6526942585	0.6022513666	0.453249762	0.4633867938	0.5914840255	12	38
32	0.5415876519	0.6135537953	0.518083941	0.555532451	0.5755505105	0.5524870683	0.4658571359	0.4859548645	0.3739083095	12	39
33	0.4538984439	0.5104711754	0.5764876383	0.7152553067	0.6298210262	0.5484751699	0.5751787146	0.5784449835	0.3802499148	12	40
34	0.3848791002	0.4075591893	0.6916539995	0.5948663239	0.5072236298	0.5043386774	0.494224797	0.5087827085	0.3186490097	13	40
35	0.3202532195	0.2135637363	0.5644646321	0.5900439054	0.6366171368	0.4141065082	0.4735806409	0.4800699028	0.5848502448	14	41
36	0.5180664116	0.5111694658	0.5070655899	0.5955866028	0.7471782978	0.7257189485	0.6607823046	0.6696534895	0.3692496847	13	40
37	0.5324218933	0.4838960122	0.5580424414	0.5900891258	0.7027348346	0.5312899583	0.5146958827	0.5176212988	0.4758395547	11	39
38	0.4388269072	0.4395081734	0.4232934689	0.4317450216	0.4745925959	0.475609273	0.5518454411	0.5528221756	0.2430244222	13	41
39	0.558291811	0.4748106228	0.6657792196	0.5930843819	0.5534302533	0.6013032649	0.4984562551	0.5194566892	0.3325411369	11	39
40	0.4959274852	0.4657289725	0.6877089531	0.5086679426	0.7334407169	0.5406300785	0.4643430699	0.4826755655	0.4446742161	11	39
41	0.3218441875	0.2382122404	0.5262799835	0.5900571274	0.6459898713	0.5956882838	0.3558036296	0.3898649358	0.5076249618	13	40
42	0.716835052	0.6411175579	0.5178864531	0.5638404553	0.4400435122	0.2607649851	0.2016630734	0.2502246454	0.7148395913	13	40
43	0.4249700833	0.455759482	0.5039168517	0.4748524832	0.5348527628	0.4948744173	0.2745356328	0.3080196013	0.4136339044	12	38
44	0.5912824168	0.4947456771	0.5497735398	0.7091080594	0.7225202981	0.6695142109	0.6448933678	0.6442245286	0.4543408266	13	40
45	0.4493111284	0.3444275842	0.4719889206	0.4988617997	0.5812954927	0.5821255071	0.4150093411	0.4476778751	0.5072672138	13	40
46	0.4622843323	0.3129445	0.1067443814	0.3991814366	0.6411215458	0.5333016563	0.5232571735	0.5462497187	0.3033850374	12	41
47	0.4053591992	0.416420734	0.5711707011	0.6560227786	0.7254466728	0.4966255056	0.487271236	0.4798312465	0.2302159172	13	41
48	0.4053812066	0.4458847416	0.414806887	0.4357694931	0.5604849639	0.4610066715	0.5055149435	0.5172165186	0.5570942828	12	39
49	0.457471649	0.3882817805	0.4705619216	0.4781380935	0.5875472327	0.4458408617	0.4537763287	0.4580005077	0.4496041936	14	40
50	0.3095177292	0.3787557798	0.5816799613	0.5964642479	0.8592161947	0.7241894255	0.645228399	0.6370980733	0.4601531792	10	38
51	0.4554310664	0.4066203683	0.5574936096	0.4363901713	0.459900744	0.3450183079	0.477317954	0.4694328263	0.3966424685	11	41
52	0.5515377028	0.5067204099	0.643336808	0.6895693244	0.7819908606	0.586974609	0.4558037963	0.4824526167	0.429436991	11	43
53	0.5765042962	0.568891323	0.5749228645	0.5005641173	0.5531862267	0.562442207	0.6656185644	0.6669053759	0.4020061383	11	42
54	0.6592041048	0.5806880865	0.4424480231	0.7670552311	0.7265181253	0.6173729937	0.5219845753	0.531586864	0.6319723384	12	39
55	0.5231506112	0.5121225393	0.5796042178	0.6151851	0.562553813	0.4351299339	0.2909618697	0.3216344051	0.3984409748	12	42
56	0.5457534819	0.5696810399	0.496281486	0.4918966998	0.6127383254	0.7272538402	0.6198638752	0.6360564093	0.4805246926	11	40
57	0.6208387802	0.4934723343	0.444400475	0.4699105336	0.5000785707	0.2702239543	0.2356112822	0.2446131474	0.2456698993	13	39
58	0.3864940971	0.4356105996	0.5504713224	0.5297767361	0.7453130275	0.6554941261	0.6322947345	0.6663619765	0.3883800645	12	39
59	0.5004135885	0.4715415065	0.6917126721	0.4633325908	0.6634935053	0.4946496958	0.4931705756	0.4955936993	0.2842332946	11	42
60	0.424020751	0.3620117265	0.4598540132	0.5613250426	0.5214375044	0.342366867	0.3460484453	0.3545815088	0.5460880938	10	41
61	0.4968611891	0.5094543994	0.611387484	0.7138951416	0.8610262198	0.8828366989	0.7330180871	0.7531174897	0.5685943012	13	41
62	0.8132402444	0.7522480043	0.3598096222	0.5715971404	0.8273019656	0.7546066133	0.6458568223	0.6939276053	0.3080944138	12	41
63	0.3194928849	0.2982188118	0.4636518703	0.5872823972	0.7493163891	0.6368172018	0.5945465427	0.6066762453	0.5142343594	12	41
64	0.5556349161	0.5284476391	0.4343146977	0.6237837264	0.7522919919	0.6051589777	0.6936400965	0.7176581789	0.2957779779	14	40
65	0.4766290978	0.3720301128	0.3135854942	0.628370534	0.7311385974	0.3975578381	0.3343613291	0.3499347144	0.1965762733	11	40
66	0.5891880678	0.4988836992	0.6189886173	0.3207014488	0.373960902	0.2692209384	0.3302876242	0.3518427587	0.4640754739	15	38
